S&P/ASX 100 Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ORG,Origin Energy,Energy,"12,293,300,000",0.74,,,
ORA,Orora Limited,Materials,"3,294,250,000",0.2,,,
OZL,OZ Minerals,Materials,"2,917,690,000",0.17,,,
QAN,Qantas Airways,Industrials,"8,244,090,000",0.49,,,
QBE,QBE Insurance Group,Financials,"17,740,400,000",1.06,,,
QUB,QUBE Holdings Limited,Industrials,"4,747,440,000",0.28,,,
RHC,Ramsay Health Care,Health Care,"13,743,500,000",0.82,,,
REA,REA Group,,"12,950,200,000",0.77,,,
RWC,Reliance Worldwide,Industrials,"2,670,520,000",0.16,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"9,528,130,000",0.57,,,
RIO,RIO Tinto Limited,Materials,"32,396,000,000",1.94,,,
STO,Santos Limited,Energy,"14,227,300,000",0.85,,,
SCG,Scentre Group,Real Estate,"18,126,100,000",1.08,,,
SEK,Seek Limited,Industrials,"7,280,650,000",0.44,,,
SHL,Sonic Healthcare,Health Care,"13,681,600,000",0.82,,,
SOL,Soul Pattinson (W.H),Energy,"4,673,000,000",0.28,,,
S32,SOUTH32 Limited,Materials,"10,877,400,000",0.65,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,584,570,000",0.21,,,
SGP,Stockland,Real Estate,"11,230,300,000",0.67,,,
SUN,Suncorp Group Limited,Financials,"14,299,200,000",0.86,,,
SYD,SYD Airport,Industrials,"17,558,900,000",1.05,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"7,675,830,000",0.46,,,
TLS,Telstra Corporation,Telecommunication Services,"40,794,000,000",2.44,,,
A2M,The a2 Milk Company,Consumer Staples,"11,347,300,000",0.68,,,
SGR,The Star Ent Group,Consumer Discretionary,"3,348,230,000",0.2,,,
TPM,TPG Telecom Limited,Telecommunication Services,"6,986,420,000",0.42,,,
TCL,Transurban Group,Industrials,"40,615,000,000",2.43,,,
TWE,Treasury Wine Estate,Consumer Staples,"7,941,000,000",0.47,,,
URW,Unibailrodawestfield Cdi 20:1 Foreign Exempt Xpar,Real Estate,"2,813,520,000",0.17,,,
VCX,Vicinity Centres,Real Estate,"8,115,680,000",0.49,,,
VUK,Virgin Money Uk Plc Cdi 1:1 Foreign Exempt Lse,Financials,"2,702,540,000",0.16,,,
WES,Wesfarmers Limited,Consumer Discretionary,"46,090,600,000",2.76,,,
WBC,Westpac Banking Corp,Financials,"85,380,200,000",5.11,,,
WHC,Whitehaven Coal,Energy,"2,052,090,000",0.12,,,
WTC,Wisetech Global Limited,Information Technology,"4,806,530,000",0.29,,,
WPL,Woodside Petroleum,Energy,"26,308,700,000",1.57,,,
WOW,Woolworths Group Limited,Consumer Staples,"48,935,200,000",2.93,,,
WOR,Worley Limited,Energy,"6,515,240,000",0.39,,,
XRO,Xero Limited,Information Technology,"10,440,600,000",0.62,,,
